droplet_id,diameter_mm,radius_mm,area_mm2
1,1.3490142459033698,0.6745071229516849,1.4292985504379454
2,1.1585207096486445,0.5792603548243223,1.054138037288163
3,1.3943065614302077,0.6971532807151039,1.5268853337819521
4,1.6569089569224076,0.8284544784612038,2.156190720655586
5,1.1297539875829992,0.5648769937914996,1.0024382903730582
6,1.1297589129152459,0.5648794564576229,1.0024470309527838
7,1.6737638446522174,0.8368819223261087,2.2002814939648205
8,1.4302304187458725,0.7151152093729363,1.6065783215455154
9,1.0591576842195143,0.5295788421097571,0.8810714407041017
10,1.3627680130757893,0.6813840065378947,1.4585917199491507
11,1.0609746921562613,0.5304873460781306,0.8840970279714452
12,1.0602810739289228,0.5301405369644614,0.8829414389306497
13,1.2725886814698102,0.6362943407349051,1.271938150917176
14,0.6260159266026606,0.3130079633013303,0.30779435180180736
15,0.6825246502460901,0.34126232512304505,0.36586980047846657
16,1.0313137412277082,0.5156568706138541,0.8353557955713083
17,0.8961506638996728,0.4480753319498364,0.6307422791952856
18,1.294274199778582,0.647137099889291,1.315656359511614
19,0.9275927773436368,0.4637963886718184,0.6757788541346735
20,0.7763088895994126,0.3881544447997063,0.47332451663400615
21,1.6396946306764661,0.8198473153382331,2.111620309773263
22,1.1322671098540393,0.5661335549270197,1.0069030712707596
23,1.2202584614063772,0.6101292307031886,1.1694819869450264
24,0.772575544135963,0.3862877720679815,0.4687829355167652
25,1.0366851826424452,0.5183425913212226,0.8440801044503718
26,1.2332767769129598,0.6166383884564799,1.1945683078742144
27,0.8547019267733091,0.42735096338665457,0.5737454406365899
28,1.3127094055037016,0.6563547027518508,1.3534028144376502
29,1.0198083930243584,0.5099041965121792,0.8168212829890145
30,1.112491875062017,0.5562459375310085,0.9720387473014236
31,1.0194880163311808,0.5097440081655904,0.8163081485652998
32,1.7556834553526812,0.8778417276763406,2.420930458957967
33,1.1959508325786197,0.5979754162893098,1.1233537317151105
34,0.8826867213132299,0.44134336065661495,0.6119318640427257
35,1.4467634736309567,0.7233817368154783,1.643936176258245
36,0.8337469050086933,0.41687345250434665,0.5459568896410336
37,1.2626590785014267,0.6313295392507133,1.2521665346591888
38,0.6120989628360674,0.3060494814180337,0.2942613130845859
39,0.8015441853304708,0.4007720926652354,0.504597177878829
40,1.259058370760737,0.6295291853803685,1.2450351448300432
41,1.4215399739986232,0.7107699869993116,1.5871136786725653
42,1.251410484356991,0.6257052421784955,1.2299556723902547
43,1.1653055152835279,0.5826527576417639,1.0665211817880373
44,1.1096688913232133,0.5548344456616067,0.9671118474619924
45,0.7564434028897717,0.37822170144488587,0.4494100298263027
